INFO 2026-07-08 22:24:37,919 log 7772 12900 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4085
WARNING 2026-07-08 22:24:38,297 log 7772 12900 Not Found: /favicon.ico
WARNING 2026-07-08 22:24:38,303 log 7772 12900 "GET /favicon.ico HTTP/1.1" 404 179
WARNING 2026-07-08 22:25:32,425 log 7772 6504 Not Found: /api/v1/auth/register/
WARNING 2026-07-08 22:25:32,427 log 7772 6504 "GET /api/v1/auth/register/ HTTP/1.1" 404 179
INFO 2026-07-08 22:26:03,223 log 7772 6504 "GET /api/docs HTTP/1.1" 301 0
INFO 2026-07-08 22:26:03,315 log 7772 6504 "GET /api/docs/ HTTP/1.1" 200 4652
INFO 2026-07-08 22:26:09,440 log 7772 6504 "GET /api/schema/ HTTP/1.1" 200 32507
INFO 2026-07-08 22:31:34,973 log 7772 20908 "GET /api/schema HTTP/1.1" 301 0
INFO 2026-07-08 22:31:35,033 log 7772 20908 "GET /api/schema/ HTTP/1.1" 200 15515
INFO 2026-07-08 22:31:51,871 log 7772 20908 "GET /api/schema/ HTTP/1.1" 200 15515
INFO 2026-07-08 22:33:19,203 log 7772 20908 "GET /admin/ HTTP/1.1" 200 6511
WARNING 2026-07-08 22:33:19,246 log 7772 20908 Not Found: /static/admin/css/base.css
WARNING 2026-07-08 22:33:19,248 log 7772 22808 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-07-08 22:33:19,249 log 7772 23544 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-07-08 22:33:19,250 log 7772 20908 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:33:19,252 log 7772 17128 Not Found: /static/admin/css/dashboard.css
WARNING 2026-07-08 22:33:19,253 log 7772 23544 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:33:19,253 log 7772 22808 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:33:19,254 log 7772 11608 Not Found: /static/admin/js/theme.js
WARNING 2026-07-08 22:33:19,255 log 7772 17128 "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:33:19,257 log 7772 1748 Not Found: /static/admin/css/responsive.css
WARNING 2026-07-08 22:33:19,257 log 7772 11608 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:33:19,258 log 7772 1748 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:33:19,266 log 7772 1748 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-07-08 22:33:19,267 log 7772 17128 Not Found: /static/admin/css/dashboard.css
WARNING 2026-07-08 22:33:19,267 log 7772 23544 Not Found: /static/admin/css/responsive.css
WARNING 2026-07-08 22:33:19,268 log 7772 11608 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-07-08 22:33:19,269 log 7772 1748 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:33:19,269 log 7772 23544 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:33:19,269 log 7772 17128 "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:33:19,270 log 7772 11608 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
INFO 2026-07-08 22:33:47,923 log 7772 11608 "GET /api/docs/ HTTP/1.1" 200 4652
INFO 2026-07-08 22:33:48,137 log 7772 11608 "GET /api/schema/ HTTP/1.1" 200 32507
INFO 2026-07-08 22:33:54,605 log 7772 11608 "GET /api/docs/ HTTP/1.1" 200 4652
INFO 2026-07-08 22:33:54,677 log 7772 11608 "GET /api/schema/ HTTP/1.1" 200 32507
INFO 2026-07-08 22:35:51,553 autoreload 8796 19480 Watching for file changes with StatReloader
